,close
2022-01-04 00:00:00,116.355
2022-01-05 00:00:00,116.32
2022-01-06 00:00:00,116.181
2022-01-07 00:00:00,116.203
2022-01-10 00:00:00,116.319
2022-01-11 00:00:00,116.298
2022-01-12 00:00:00,116.251
2022-01-13 00:00:00,116.381
2022-01-14 00:00:00,116.534
2022-01-17 00:00:00,116.561
2022-01-18 00:00:00,116.838
2022-01-19 00:00:00,117.145
2022-01-20 00:00:00,117.013
2022-01-21 00:00:00,117.306
2022-01-24 00:00:00,117.612
2022-01-25 00:00:00,117.59
2022-01-26 00:00:00,117.071
2022-01-27 00:00:00,116.994
2022-01-28 00:00:00,117.039
2022-02-07 00:00:00,117.037
2022-02-08 00:00:00,117.167
2022-02-09 00:00:00,117.173
2022-02-10 00:00:00,117.197
2022-02-11 00:00:00,116.761
2022-02-14 00:00:00,116.535
2022-02-15 00:00:00,116.625
2022-02-16 00:00:00,116.672
2022-02-17 00:00:00,116.751
2022-02-18 00:00:00,116.736
2022-02-21 00:00:00,116.52
2022-02-22 00:00:00,116.324
2022-02-23 00:00:00,116.524
2022-02-24 00:00:00,116.615
2022-02-25 00:00:00,116.687
2022-02-28 00:00:00,116.794
2022-03-01 00:00:00,116.522
2022-03-02 00:00:00,116.499
2022-03-03 00:00:00,116.267
2022-03-04 00:00:00,116.221
2022-03-07 00:00:00,116.384
2022-03-08 00:00:00,116.495
2022-03-09 00:00:00,116.125
2022-03-10 00:00:00,116.345
2022-03-11 00:00:00,116.618
2022-03-14 00:00:00,117.188
2022-03-15 00:00:00,116.849
2022-03-16 00:00:00,116.732
2022-03-17 00:00:00,116.65
2022-03-18 00:00:00,116.828
2022-03-21 00:00:00,116.685
2022-03-22 00:00:00,116.627
2022-03-23 00:00:00,116.667
2022-03-24 00:00:00,116.696
2022-03-25 00:00:00,116.886
2022-03-28 00:00:00,116.918
2022-03-29 00:00:00,116.96
2022-03-30 00:00:00,117.037
2022-03-31 00:00:00,116.882
2022-04-01 00:00:00,117.067
2022-04-06 00:00:00,117.174
2022-04-07 00:00:00,117.243
2022-04-08 00:00:00,117.48
2022-04-11 00:00:00,117.401
2022-04-12 00:00:00,117.463
2022-04-13 00:00:00,117.371
2022-04-14 00:00:00,117.51
2022-04-15 00:00:00,117.361
2022-04-18 00:00:00,117.177
2022-04-19 00:00:00,117.078
2022-04-20 00:00:00,116.908
2022-04-21 00:00:00,117.102
2022-04-22 00:00:00,117.082
2022-04-25 00:00:00,117.203
2022-04-26 00:00:00,117.305
2022-04-27 00:00:00,117.225
2022-04-28 00:00:00,117.078
2022-04-29 00:00:00,117.204
2022-05-05 00:00:00,117.174
2022-05-06 00:00:00,117.124
2022-05-09 00:00:00,117.251
2022-05-10 00:00:00,117.449
2022-05-11 00:00:00,117.334
2022-05-12 00:00:00,117.433
2022-05-13 00:00:00,117.475
2022-05-16 00:00:00,117.41
2022-05-17 00:00:00,117.447
2022-05-18 00:00:00,117.49
2022-05-19 00:00:00,117.472
2022-05-20 00:00:00,117.486
2022-05-23 00:00:00,117.615
2022-05-24 00:00:00,117.718
2022-05-25 00:00:00,117.855
2022-05-26 00:00:00,118.1
2022-05-27 00:00:00,118.12
2022-05-30 00:00:00,117.976
2022-05-31 00:00:00,117.783
2022-06-01 00:00:00,117.85
2022-06-02 00:00:00,117.755
2022-06-06 00:00:00,117.689
2022-06-07 00:00:00,117.696
2022-06-08 00:00:00,117.712
2022-06-09 00:00:00,117.89
2022-06-10 00:00:00,117.851
2022-06-13 00:00:00,117.927
2022-06-14 00:00:00,117.756
2022-06-15 00:00:00,117.762
2022-06-16 00:00:00,117.69
2022-06-17 00:00:00,117.73
2022-06-20 00:00:00,117.669
2022-06-21 00:00:00,117.688
2022-06-22 00:00:00,117.76
2022-06-23 00:00:00,117.738
2022-06-24 00:00:00,117.714
2022-06-27 00:00:00,117.424
2022-06-28 00:00:00,117.443
2022-06-29 00:00:00,117.417
2022-06-30 00:00:00,117.565
2022-07-01 00:00:00,117.6
2022-07-04 00:00:00,117.426
2022-07-05 00:00:00,117.426
2022-07-06 00:00:00,117.575
2022-07-07 00:00:00,117.699
2022-07-08 00:00:00,117.648
2022-07-11 00:00:00,117.772
2022-07-12 00:00:00,117.788
2022-07-13 00:00:00,117.907
2022-07-14 00:00:00,117.917
2022-07-15 00:00:00,118.069
2022-07-18 00:00:00,117.976
2022-07-19 00:00:00,117.912
2022-07-20 00:00:00,117.959
2022-07-21 00:00:00,118.094
2022-07-22 00:00:00,118.143
2022-07-25 00:00:00,118.186
2022-07-26 00:00:00,118.31
2022-07-27 00:00:00,118.377
2022-07-28 00:00:00,118.36
2022-07-29 00:00:00,118.774
2022-08-01 00:00:00,118.9
2022-08-02 00:00:00,119.035
2022-08-03 00:00:00,119.032
2022-08-04 00:00:00,119.192
2022-08-05 00:00:00,119.12
2022-08-08 00:00:00,118.992
2022-08-09 00:00:00,118.908
2022-08-10 00:00:00,119.104
2022-08-11 00:00:00,118.96
2022-08-12 00:00:00,118.873
2022-08-15 00:00:00,119.423
2022-08-16 00:00:00,119.612
2022-08-17 00:00:00,119.615
2022-08-18 00:00:00,119.793
2022-08-19 00:00:00,119.976
2022-08-22 00:00:00,119.872
2022-08-23 00:00:00,119.88
2022-08-24 00:00:00,119.884
2022-08-25 00:00:00,119.763
2022-08-26 00:00:00,119.631
2022-08-29 00:00:00,119.725
2022-08-30 00:00:00,119.88
2022-08-31 00:00:00,119.891
2022-09-01 00:00:00,119.984
2022-09-02 00:00:00,120.177
2022-09-05 00:00:00,120.1
2022-09-06 00:00:00,120.01
2022-09-07 00:00:00,120.001
2022-09-08 00:00:00,119.925
2022-09-09 00:00:00,119.954
2022-09-13 00:00:00,119.824
2022-09-14 00:00:00,119.69
2022-09-15 00:00:00,119.701
2022-09-16 00:00:00,119.475
2022-09-19 00:00:00,119.577
2022-09-20 00:00:00,119.848
2022-09-21 00:00:00,119.925
2022-09-22 00:00:00,119.91
2022-09-23 00:00:00,119.643
2022-09-26 00:00:00,119.069
2022-09-27 00:00:00,119.096
2022-09-28 00:00:00,119.127
2022-09-29 00:00:00,118.824
2022-09-30 00:00:00,118.901
2022-10-10 00:00:00,119.262
2022-10-11 00:00:00,119.346
2022-10-12 00:00:00,119.264
2022-10-13 00:00:00,119.323
2022-10-14 00:00:00,119.525
2022-10-17 00:00:00,119.541
2022-10-18 00:00:00,119.548
2022-10-19 00:00:00,119.643
2022-10-20 00:00:00,119.455
2022-10-21 00:00:00,119.576
2022-10-24 00:00:00,119.648
2022-10-25 00:00:00,119.619
2022-10-26 00:00:00,119.622
2022-10-27 00:00:00,119.87
2022-10-28 00:00:00,119.98
2022-10-31 00:00:00,120.258
2022-11-01 00:00:00,120.081
2022-11-02 00:00:00,119.791
2022-11-03 00:00:00,119.998
2022-11-04 00:00:00,119.821
2022-11-07 00:00:00,119.902
2022-11-08 00:00:00,119.968
2022-11-09 00:00:00,120.08
2022-11-10 00:00:00,120.049
2022-11-11 00:00:00,119.766
2022-11-14 00:00:00,119.129
2022-11-15 00:00:00,118.999
2022-11-16 00:00:00,118.648
2022-11-17 00:00:00,119
2022-11-18 00:00:00,118.966
2022-11-21 00:00:00,119.176
2022-11-22 00:00:00,119.006
2022-11-23 00:00:00,119.232
2022-11-24 00:00:00,119.53
2022-11-25 00:00:00,119.326
2022-11-28 00:00:00,119.02
2022-11-29 00:00:00,118.587
2022-11-30 00:00:00,118.737
2022-12-01 00:00:00,118.86
2022-12-02 00:00:00,118.957
2022-12-05 00:00:00,118.849
2022-12-06 00:00:00,118.589
2022-12-07 00:00:00,118.613
2022-12-08 00:00:00,118.901
2022-12-09 00:00:00,118.761
2022-12-12 00:00:00,118.781
2022-12-13 00:00:00,118.593
2022-12-14 00:00:00,118.888
2022-12-15 00:00:00,118.921
2022-12-16 00:00:00,118.937
2022-12-19 00:00:00,119.149
2022-12-20 00:00:00,119.08
2022-12-21 00:00:00,119.133
2022-12-22 00:00:00,119.137
2022-12-23 00:00:00,119.122
2022-12-26 00:00:00,119.037
2022-12-27 00:00:00,119.008
2022-12-28 00:00:00,119.032
2022-12-29 00:00:00,119.171
2022-12-30 00:00:00,119.333
2023-01-03 00:00:00,119.34
2023-01-04 00:00:00,119.439
2023-01-05 00:00:00,119.441
2023-01-06 00:00:00,119.291
2023-01-09 00:00:00,119.349
2023-01-10 00:00:00,119.256
2023-01-11 00:00:00,119.12
2023-01-12 00:00:00,119.152
2023-01-13 00:00:00,119.133
2023-01-16 00:00:00,118.913
2023-01-17 00:00:00,118.942
2023-01-18 00:00:00,118.866
2023-01-19 00:00:00,118.829
2023-01-20 00:00:00,118.969
2023-01-30 00:00:00,119.049
2023-01-31 00:00:00,119.127
2023-02-01 00:00:00,119.137
2023-02-02 00:00:00,119.201
2023-02-03 00:00:00,119.305
2023-02-06 00:00:00,119.31
2023-02-07 00:00:00,119.285
2023-02-08 00:00:00,119.228
2023-02-09 00:00:00,119.241
2023-02-10 00:00:00,119.328
2023-02-13 00:00:00,119.355
2023-02-14 00:00:00,119.375
2023-02-15 00:00:00,119.33
2023-02-16 00:00:00,119.341
2023-02-17 00:00:00,119.377
2023-02-20 00:00:00,119.349
2023-02-21 00:00:00,119.329
2023-02-22 00:00:00,119.353
2023-02-23 00:00:00,119.36
2023-02-24 00:00:00,119.344
2023-02-27 00:00:00,119.32
2023-02-28 00:00:00,119.303
2023-03-01 00:00:00,119.324
2023-03-02 00:00:00,119.295
2023-03-03 00:00:00,119.277
2023-03-06 00:00:00,119.436
2023-03-07 00:00:00,119.573
2023-03-08 00:00:00,119.698
2023-03-09 00:00:00,119.696
2023-03-10 00:00:00,119.74
2023-03-13 00:00:00,119.78
2023-03-14 00:00:00,119.819
2023-03-15 00:00:00,119.769
2023-03-16 00:00:00,119.886
2023-03-17 00:00:00,119.962
2023-03-20 00:00:00,119.999
2023-03-21 00:00:00,119.827
2023-03-22 00:00:00,119.877
2023-03-23 00:00:00,119.853
2023-03-24 00:00:00,119.815
2023-03-27 00:00:00,119.853
2023-03-28 00:00:00,119.845
2023-03-29 00:00:00,119.92
2023-03-30 00:00:00,119.798
2023-03-31 00:00:00,119.852
2023-04-03 00:00:00,119.874
2023-04-04 00:00:00,119.917
2023-04-06 00:00:00,119.938
2023-04-07 00:00:00,120.02
2023-04-10 00:00:00,120.09
2023-04-11 00:00:00,120.099
2023-04-12 00:00:00,120.224
2023-04-13 00:00:00,120.254
2023-04-14 00:00:00,120.194
2023-04-17 00:00:00,120.186
2023-04-18 00:00:00,120.214
2023-04-19 00:00:00,120.33
2023-04-20 00:00:00,120.239
2023-04-21 00:00:00,120.407
2023-04-24 00:00:00,120.51
2023-04-25 00:00:00,120.525
2023-04-26 00:00:00,120.573
2023-04-27 00:00:00,120.664
2023-04-28 00:00:00,120.749
2023-05-04 00:00:00,120.964
2023-05-05 00:00:00,121.165
2023-05-08 00:00:00,121.035
2023-05-09 00:00:00,121.149
2023-05-10 00:00:00,121.311
2023-05-11 00:00:00,121.487
2023-05-12 00:00:00,121.365
2023-05-15 00:00:00,121.36
2023-05-16 00:00:00,121.316
2023-05-17 00:00:00,121.305
2023-05-18 00:00:00,121.296
2023-05-19 00:00:00,121.427
2023-05-22 00:00:00,121.453
2023-05-23 00:00:00,121.708
2023-05-24 00:00:00,121.667
2023-05-25 00:00:00,121.564
2023-05-26 00:00:00,121.352
2023-05-29 00:00:00,121.459
2023-05-30 00:00:00,121.465
2023-05-31 00:00:00,121.504
2023-06-01 00:00:00,121.654
2023-06-02 00:00:00,121.579
2023-06-05 00:00:00,121.626
2023-06-06 00:00:00,121.76
2023-06-07 00:00:00,121.869
2023-06-08 00:00:00,121.844
2023-06-09 00:00:00,121.977
2023-06-12 00:00:00,122.058
2023-06-13 00:00:00,122.279
2023-06-14 00:00:00,122.598
2023-06-15 00:00:00,122.245
2023-06-16 00:00:00,121.794
2023-06-19 00:00:00,121.888
2023-06-20 00:00:00,121.866
2023-06-21 00:00:00,122.01
2023-06-26 00:00:00,122.169
2023-06-27 00:00:00,121.972
2023-06-28 00:00:00,121.989
2023-06-29 00:00:00,122.031
2023-06-30 00:00:00,122.262
2023-07-03 00:00:00,122.203
2023-07-04 00:00:00,122.217
2023-07-05 00:00:00,122.233
2023-07-06 00:00:00,122.276
2023-07-07 00:00:00,122.309
