date,close
2022-01-04,14.59
2022-01-05,15.02
2022-01-06,14.99
2022-01-07,15.06
2022-01-10,15.06
2022-01-11,15.25
2022-01-12,14.89
2022-01-13,14.87
2022-01-14,14.3
2022-01-17,14.21
2022-01-18,14.47
2022-01-19,14.45
2022-01-20,15.18
2022-01-21,15.2
2022-01-24,15.06
2022-01-25,14.76
2022-01-26,14.58
2022-01-27,14.28
2022-01-28,13.86
2022-02-07,14.36
2022-02-08,14.74
2022-02-09,14.77
2022-02-10,14.88
2022-02-11,14.98
2022-02-14,14.52
2022-02-15,14.26
2022-02-16,14.37
2022-02-17,14.38
2022-02-18,14.69
2022-02-21,14.46
2022-02-22,14.22
2022-02-23,14.18
2022-02-24,13.94
2022-02-25,13.93
2022-02-28,13.79
2022-03-01,13.94
2022-03-02,13.73
2022-03-03,13.76
2022-03-04,13.43
2022-03-07,12.89
2022-03-08,12.53
2022-03-09,12.12
2022-03-10,12.76
2022-03-11,13.05
2022-03-14,12.69
2022-03-15,11.98
2022-03-16,12.53
2022-03-17,12.66
2022-03-18,12.88
2022-03-21,12.78
2022-03-22,13.3
2022-03-23,13.14
2022-03-24,13.31
2022-03-25,13.12
2022-03-28,13.01
2022-03-29,12.86
2022-03-30,13.32
2022-03-31,13.47
2022-04-01,13.79
2022-04-06,14.36
2022-04-07,14.26
2022-04-08,14.36
2022-04-11,14.06
2022-04-12,13.94
2022-04-13,13.84
2022-04-14,14.05
2022-04-15,14.38
2022-04-18,13.93
2022-04-19,13.85
2022-04-20,13.88
2022-04-21,13.85
2022-04-22,14.07
2022-04-25,13.01
2022-04-26,12.9
2022-04-27,13.71
2022-04-28,13.71
2022-04-29,13.42
2022-05-05,13.42
2022-05-06,13.1
2022-05-09,12.74
2022-05-10,12.78
2022-05-11,12.81
2022-05-12,12.59
2022-05-13,12.8
2022-05-16,12.62
2022-05-17,12.88
2022-05-18,12.92
2022-05-19,12.81
2022-05-20,13.16
2022-05-23,12.99
2022-05-24,12.61
2022-05-25,12.6
2022-05-26,12.43
2022-05-27,12.42
2022-05-30,12.33
2022-05-31,12.4
2022-06-01,12.33
2022-06-02,12.22
2022-06-06,12.41
2022-06-07,12.4
2022-06-08,12.4
2022-06-09,12.57
2022-06-10,12.54
2022-06-13,12.18
2022-06-14,12.37
2022-06-15,12.91
2022-06-16,12.65
2022-06-17,12.66
2022-06-20,12.56
2022-06-21,12.59
2022-06-22,12.33
2022-06-23,12.44
2022-06-24,12.46
2022-06-27,12.69
2022-06-28,12.81
2022-06-29,12.82
2022-06-30,13.12
2022-07-01,13.07
2022-07-04,13.09
2022-07-05,13.06
2022-07-06,12.73
2022-07-07,12.63
2022-07-08,12.74
2022-07-11,12.67
2022-07-12,12.63
2022-07-13,12.24
2022-07-14,11.71
2022-07-15,11.6
2022-07-18,11.73
2022-07-19,11.75
2022-07-20,11.73
2022-07-21,11.4
2022-07-22,11.42
2022-07-25,11.43
2022-07-26,11.51
2022-07-27,11.4
2022-07-28,11.48
2022-07-29,11.31
2022-08-01,11.07
2022-08-02,10.93
2022-08-03,10.73
2022-08-04,10.84
2022-08-05,10.98
2022-08-08,10.88
2022-08-09,10.81
2022-08-10,10.75
2022-08-11,11.01
2022-08-12,11.04
2022-08-15,10.8
2022-08-16,10.82
2022-08-17,11.06
2022-08-18,10.92
2022-08-19,11.21
2022-08-22,11.15
2022-08-23,11.0
2022-08-24,11.06
2022-08-25,11.25
2022-08-26,11.24
2022-08-29,11.07
2022-08-30,11.13
2022-08-31,11.37
2022-09-01,11.24
2022-09-02,11.15
2022-09-05,11.21
2022-09-06,11.15
2022-09-07,10.99
2022-09-08,11.02
