date,close
2020-01-02,90.029
2020-01-03,90.029
2020-01-06,90.113
2020-01-07,90.113
2020-01-08,89.942
2020-01-09,90.029
2020-01-10,89.986
2020-01-13,89.986
2020-01-14,89.814
2020-01-15,89.813
2020-01-16,89.64
2020-01-17,89.899
2020-01-20,89.719
2020-01-21,89.899
2020-01-22,90.072
2020-01-23,90.952
2020-02-03,92.541
2020-02-04,92.541
2020-02-05,92.446
2020-02-06,92.187
2020-02-07,92.359
2020-02-10,92.445
2020-02-11,92.428
2020-02-12,92.331
2020-02-13,92.238
2020-02-14,92.402
2020-02-17,92.402
2020-02-18,92.575
2020-02-19,92.592
2020-02-20,92.609
2020-02-21,92.618
2020-02-24,92.618
2020-02-25,92.61
2020-02-26,92.627
2020-02-27,92.627
2020-02-28,92.92
2020-03-02,92.86
2020-03-03,92.834
2020-03-04,93.211
2020-03-05,93.144
2020-03-06,93.327
2020-03-09,93.748
2020-03-10,93.4
2020-03-11,93.5
2020-03-12,93.703
2020-03-13,93.544
2020-03-16,93.51
2020-03-17,93.353
2020-03-18,93.466
2020-03-19,93.353
2020-03-20,93.431
2020-03-23,93.829
2020-03-24,93.726
2020-03-25,93.666
2020-03-26,93.952
2020-03-27,93.874
2020-03-30,93.874
2020-03-31,93.926
2020-04-01,93.934
2020-04-02,93.913
2020-04-03,93.823
2020-04-07,94.438
2020-04-08,94.694
2020-04-09,94.828
2020-04-10,94.854
2020-04-13,94.785
2020-04-14,94.784
2020-04-15,94.872
2020-04-16,94.963
2020-04-17,94.862
2020-04-20,94.82
2020-04-21,94.915
2020-04-22,95.045
2020-04-23,95.401
2020-04-24,95.427
2020-04-27,95.471
2020-04-28,95.462
2020-04-29,95.57
2020-04-30,95.596
2020-05-06,95.322
2020-05-07,95.045
2020-05-08,95.002
2020-05-11,94.672
2020-05-12,94.672
2020-05-13,94.525
2020-05-14,94.541
2020-05-15,94.785
2020-05-18,94.481
2020-05-19,94.543
2020-05-20,94.655
2020-05-21,94.698
2020-05-22,95.045
2020-05-25,94.738
2020-05-26,94.559
2020-05-27,94.506
2020-05-28,94.653
2020-05-29,94.49
2020-06-01,94.41
2020-06-02,94.279
2020-06-03,94.157
2020-06-04,93.956
2020-06-05,93.916
2020-06-08,93.999
2020-06-09,93.938
2020-06-10,93.868
2020-06-11,94.043
2020-06-12,94.139
2020-06-15,94.388
2020-06-16,94.125
2020-06-17,93.781
2020-06-18,93.781
2020-06-19,93.781
2020-06-22,93.606
2020-06-23,93.361
2020-06-24,93.607
2020-06-29,93.346
2020-06-30,93.519
2020-07-01,93.475
2020-07-02,93.519
2020-07-03,93.475
2020-07-06,92.776
2020-07-07,92.8
2020-07-08,92.829
2020-07-09,92.709
2020-07-10,92.802
2020-07-13,92.828
2020-07-14,92.992
2020-07-15,93.339
2020-07-16,93.096
2020-07-17,93.039
2020-07-20,93.082
2020-07-21,93.597
2020-07-22,93.693
2020-07-23,94.016
2020-07-24,93.806
2020-07-27,93.562
2020-07-28,93.623
2020-07-29,93.523
2020-07-30,93.606
2020-07-31,93.508
2020-08-03,93.256
2020-08-04,93.233
2020-08-05,93.392
